user_id,pool,role,pool_lang,n_query,n_candidate,t_star,first_ts,last_ts
user_c0fb86dc,POOL-HN,matched,en,500,500,1701767251,1589486508,1754086049
user_65a9b80f,POOL-HN,distractor,en,0,500,1689544348,1263308548,1777692604
user_3b3e89bc,POOL-HN,distractor,en,0,500,1694817360,1596138832,1777656940
user_30028daf,POOL-HN,matched,en,500,500,1654390913,1415251352,1777703138
user_9f81e23d,POOL-HN,distractor,en,0,500,1713635540,1496896294,1777672226
user_c555cb8c,POOL-HN,matched,en,500,500,1609431536,1400030543,1776877525
user_a2db9551,POOL-HN,distractor,en,0,500,1600803054,1506103237,1688149939
user_50ed9dcb,POOL-HN,distractor,en,0,500,1569252105,1438706669,1777644893
user_aaeb360f,POOL-HN,matched,en,500,500,1569170677,1345141356,1777665824
user_561f6498,POOL-HN,matched,en,500,500,1558599859,1214650936,1777648516
user_c5b690e4,POOL-HN,distractor,en,0,500,1607907262,1387846195,1777656554
user_67519748,POOL-HN,distractor,en,0,500,1586200192,1410156919,1777708819
user_62997437,POOL-HN,matched,en,500,500,1610608347,1333120547,1777700486
user_bd0c3986,POOL-HN,distractor,en,0,500,1621968612,1293060519,1777689793
user_b2df599a,POOL-HN,matched,en,500,500,1653499551,1473441479,1777680020
user_38163798,POOL-HN,matched,en,500,500,1656095771,1571626768,1777650011
user_46e979ba,POOL-HN,matched,en,500,500,1652978362,1509465789,1774868304
user_316185bc,POOL-HN,distractor,en,0,500,1638833842,1471492229,1777705191
user_149e37fc,POOL-HN,matched,en,500,500,1559665410,1388760353,1777473829
user_703dc43d,POOL-HN,distractor,en,0,500,1606842331,1421263628,1777566025
user_081da869,POOL-HN,matched,en,500,500,1584738652,1396913597,1777676811
user_bd253eaa,POOL-HN,matched,en,500,500,1644079413,1380985589,1777629135
user_c8f1fc62,POOL-HN,matched,en,500,500,1631134173,1336344838,1777677609
user_241da0bf,POOL-HN,distractor,en,0,500,1673319920,1277733902,1777589076
user_7405d051,POOL-HN,distractor,en,0,500,1578563231,1346591343,1777422107
user_1215ba73,POOL-HN,distractor,en,0,500,1677806286,1559594547,1777643554
user_3fe5fdcd,POOL-HN,matched,en,500,500,1651950852,1540967106,1731081684
user_d37f5d5f,POOL-HN,distractor,en,0,500,1626283248,1463493363,1747354698
user_17ebdde4,POOL-HN,distractor,en,0,500,1415040746,1265986875,1777553095
user_78077387,POOL-HN,matched,en,500,500,1641225515,1347806849,1777668835
user_a9787fe1,POOL-HN,matched,en,500,500,1624717750,1413726667,1777653904
user_497df692,POOL-HN,distractor,en,0,500,1298316563,1188701309,1771414115
user_6fde9307,POOL-HN,matched,en,500,500,1483089565,1308616844,1777506028
user_23f5dfa0,POOL-HN,distractor,en,0,500,1428606985,1208724381,1776988039
user_5a8cca41,POOL-HN,matched,en,500,500,1582951015,1511824566,1741474789
user_fe249a02,POOL-HN,matched,en,500,500,1488088110,1428536913,1757290122
user_63d84f09,POOL-HN,matched,en,500,500,1623456791,1265294985,1777709133
