user_id,pool,role,pool_lang,n_query,n_candidate,t_star,first_ts,last_ts
user_34e4cc11,POOL-XLING-ES,matched,en|es,18,17,0,1305807757,1650099626
user_5c6f3f9b,POOL-XLING-ES,matched,en|es,16,10,0,1544027627,1706173298
user_68fc238a,POOL-XLING-ES,matched,en|es,12,100,0,1480483917,1696707644
user_df25db1f,POOL-XLING-ES,matched,en|es,13,13,0,1351452380,1692038396
user_98899721,POOL-XLING-ES,matched,en|es,13,36,0,1472021343,1530865299
user_4e90e495,POOL-XLING-ES,matched,en|es,26,26,0,1543518865,1651278249
user_4a767c92,POOL-XLING-ES,matched,en|es,42,40,0,1511757173,1645242901
user_ed91be37,POOL-XLING-ES,matched,en|es,30,116,0,1351279411,1559824293
user_bf3a8f13,POOL-XLING-ES,matched,en|es,32,177,0,1476729772,1686793806
user_d67e8ae8,POOL-XLING-ES,matched,en|es,11,27,0,1594060235,1623870611
user_7e34c39a,POOL-XLING-ES,matched,en|es,421,490,0,1423869820,1696442773
user_330656c5,POOL-XLING-ES,matched,en|es,10,12,0,1481119983,1700239688
user_36d959d0,POOL-XLING-ES,matched,en|es,16,17,0,1415350107,1528103208
user_c612c6f9,POOL-XLING-ES,matched,en|es,24,46,0,1489668363,1645531956
user_e0b2e845,POOL-XLING-ES,matched,en|es,35,15,0,1601905032,1682028016
user_d219ffdd,POOL-XLING-ES,matched,en|es,37,45,0,1537188008,1696238507
user_e220468b,POOL-XLING-ES,matched,en|es,15,33,0,1465943502,1627408311
user_35c8158d,POOL-XLING-ES,matched,en|es,11,15,0,1341450180,1602376527
user_252e2b41,POOL-XLING-ES,matched,en|es,25,26,0,1616862577,1700684044
user_65236e73,POOL-XLING-ES,matched,en|es,63,14,0,1619544507,1710532449
user_1dd6a4d9,POOL-XLING-ES,matched,en|es,49,12,0,1558358568,1706295074
user_fe2c93a6,POOL-XLING-ES,matched,en|es,81,49,0,1439315683,1576651510
user_cb69fe6e,POOL-XLING-ES,matched,en|es,35,23,0,1407259335,1634685736
user_85e73a0f,POOL-XLING-ES,matched,en|es,131,48,0,1465818296,1689340498
user_3b7b4f72,POOL-XLING-ES,matched,en|es,22,92,0,1242994467,1656092423
user_89a7cd46,POOL-XLING-ES,matched,en|es,26,18,0,1513931769,1653572753
user_a6da48ff,POOL-XLING-ES,matched,en|es,12,27,0,1439327431,1689704363
user_5d0e1090,POOL-XLING-ES,matched,en|es,15,19,0,1311893212,1626184031
user_a516e0f6,POOL-XLING-ES,matched,en|es,10,210,0,1575979984,1682454099
user_5a78585b,POOL-XLING-ES,matched,en|es,12,54,0,1285861171,1680295412
user_77c113ae,POOL-XLING-ES,matched,en|es,28,48,0,1502400542,1681418167
user_9600f312,POOL-XLING-ES,matched,en|es,23,421,0,1338306948,1697126870
user_94b31e74,POOL-XLING-ES,matched,en|es,101,14,0,1506714115,1677814853
user_f806d6f5,POOL-XLING-ES,matched,en|es,93,10,0,1480541734,1627932924
user_2dcb9aa6,POOL-XLING-ES,matched,en|es,48,87,0,1337779954,1518113157
user_affd5655,POOL-XLING-ES,matched,en|es,500,500,0,1433071639,1513610790
user_5a068f5f,POOL-XLING-ES,matched,en|es,126,24,0,1617915691,1684104515
user_d0394cd5,POOL-XLING-ES,matched,en|es,77,94,0,1600365004,1669907943
user_f697a7ef,POOL-XLING-ES,matched,en|es,437,57,0,1492782863,1707235811
user_f0cdd1fe,POOL-XLING-ES,matched,en|es,39,23,0,1505991739,1709571506
user_cf2c44ba,POOL-XLING-ES,matched,en|es,500,151,0,1319562200,1685036635
user_1966dc13,POOL-XLING-ES,matched,en|es,23,15,0,1465293270,1529037765
user_75e0247c,POOL-XLING-ES,matched,en|es,366,23,0,1536086429,1694497371
user_2843214e,POOL-XLING-ES,matched,en|es,74,24,0,1462057226,1681499596
user_7643bff5,POOL-XLING-ES,matched,en|es,11,18,0,1468547757,1692017649
user_735bd149,POOL-XLING-ES,matched,en|es,16,23,0,1408630243,1514570086
user_250cedd7,POOL-XLING-ES,matched,en|es,74,30,0,1552952720,1694474899
user_36c6ee17,POOL-XLING-ES,matched,en|es,12,12,0,1477752876,1614776903
user_852dd951,POOL-XLING-ES,matched,en|es,18,11,0,1457309957,1478495042
user_93220028,POOL-XLING-ES,matched,en|es,46,10,0,1457874972,1549675530
user_c39c35a4,POOL-XLING-ES,matched,en|es,41,25,0,1501637267,1678113829
user_2e2492be,POOL-XLING-ES,matched,en|es,30,18,0,1505532615,1587343323
user_e52a1ad1,POOL-XLING-ES,matched,en|es,38,51,0,1516907555,1708626832
user_40b97fe7,POOL-XLING-ES,matched,en|es,10,241,0,1359398621,1671148579
user_d42e6662,POOL-XLING-ES,matched,en|es,110,15,0,1474305289,1704906802
user_61d1a297,POOL-XLING-ES,matched,en|es,18,10,0,1494854827,1539505781
user_01246bf7,POOL-XLING-ES,matched,en|es,36,13,0,1537520532,1684312387
user_20817f22,POOL-XLING-ES,matched,en|es,35,10,0,1503066729,1668108618
user_a98ce828,POOL-XLING-ES,matched,en|es,34,19,0,1557712492,1686147383
user_c6505b7c,POOL-XLING-ES,matched,en|es,42,16,0,1510868058,1694629507
user_dae27da7,POOL-XLING-ES,matched,en|es,51,26,0,1412745246,1588746932
user_25f91e63,POOL-XLING-ES,matched,en|es,35,50,0,1418680206,1560884752
user_5a8474a5,POOL-XLING-ES,matched,en|es,38,68,0,1375583041,1708971073
user_b7d6ed2e,POOL-XLING-ES,matched,en|es,11,33,0,1427487721,1711056903
user_e21f7ff7,POOL-XLING-ES,matched,en|es,14,34,0,1579534655,1699620962
user_778991a7,POOL-XLING-ES,matched,en|es,260,24,0,1537449609,1641620838
user_92ffb93a,POOL-XLING-ES,matched,en|es,14,16,0,1604510503,1692714153
user_1ab96004,POOL-XLING-ES,matched,en|es,14,11,0,1590842276,1595496182
user_a7991035,POOL-XLING-ES,matched,en|es,41,28,0,1464109339,1652167319
user_b8abf03c,POOL-XLING-ES,matched,en|es,23,99,0,1404291569,1703086744
user_c8333569,POOL-XLING-ES,matched,en|es,177,14,0,1562646188,1685762592
user_ac8446c2,POOL-XLING-ES,matched,en|es,17,43,0,1605772378,1706255135
user_0f0bf13a,POOL-XLING-ES,matched,en|es,19,447,0,1294332683,1621302978
user_a759ab14,POOL-XLING-ES,matched,en|es,19,32,0,1457431866,1700234887
user_64c43d48,POOL-XLING-ES,matched,en|es,29,11,0,1453580086,1664289111
user_5763022a,POOL-XLING-ES,matched,en|es,10,10,0,1455282957,1675017708
user_1f05147e,POOL-XLING-ES,matched,en|es,43,87,0,1353947537,1707483245
user_8202f0d5,POOL-XLING-ES,matched,en|es,22,27,0,1521247538,1694677928
user_6732441a,POOL-XLING-ES,matched,en|es,22,13,0,1499278855,1687107082
user_9db8b0d2,POOL-XLING-ES,matched,en|es,500,349,0,1264018489,1595886657
user_1c6499d9,POOL-XLING-ES,matched,en|es,12,13,0,1433338316,1570044292
user_ecfa197b,POOL-XLING-ES,matched,en|es,20,15,0,1540598152,1661257548
user_45ad24b2,POOL-XLING-ES,matched,en|es,99,14,0,1539343517,1680576918
user_e97c16f3,POOL-XLING-ES,matched,en|es,52,10,0,1508296234,1637722115
user_9e14101f,POOL-XLING-ES,matched,en|es,25,101,0,1579596585,1711104293
user_becdff3f,POOL-XLING-ES,matched,en|es,202,14,0,1497640092,1711360686
user_47dbdf31,POOL-XLING-ES,matched,en|es,84,79,0,1380357987,1669742021
user_a41fa348,POOL-XLING-ES,matched,en|es,58,139,0,1485378921,1681989643
user_9ecbedcf,POOL-XLING-ES,matched,en|es,146,14,0,1533489718,1709674407
user_50630191,POOL-XLING-ES,matched,en|es,21,10,0,1510525228,1524731106
user_9e0b3e31,POOL-XLING-ES,matched,en|es,44,13,0,1547815688,1711046443
user_91df7839,POOL-XLING-ES,matched,en|es,15,20,0,1523491556,1548805438
