pool,score,bin,n,score_lo,score_hi,accuracy,acc_CI_lo,acc_CI_hi
POOL-EN,sim_top1,1,16,0.8697,0.946,0.25,0.062,0.5
POOL-EN,sim_top1,2,16,0.9464,0.957,0.125,0.0,0.312
POOL-EN,sim_top1,3,16,0.9571,0.9633,0.312,0.125,0.562
POOL-EN,sim_top1,4,16,0.9633,0.9661,0.125,0.0,0.312
POOL-EN,sim_top1,5,16,0.9668,0.9687,0.375,0.125,0.625
POOL-EN,sim_top1,6,16,0.9689,0.9712,0.625,0.375,0.875
POOL-EN,sim_top1,7,16,0.9715,0.975,0.438,0.188,0.688
POOL-EN,sim_top1,8,16,0.975,0.9772,0.562,0.312,0.812
POOL-EN,sim_top1,9,15,0.9773,0.9795,0.8,0.6,1.0
POOL-EN,sim_top1,10,15,0.9795,0.9912,0.933,0.8,1.0
POOL-EN,gap_top1_top2,1,16,0.0,0.0004,0.062,0.0,0.188
POOL-EN,gap_top1_top2,2,16,0.0004,0.001,0.125,0.0,0.312
POOL-EN,gap_top1_top2,3,16,0.0011,0.0014,0.25,0.062,0.5
POOL-EN,gap_top1_top2,4,16,0.0014,0.002,0.25,0.062,0.5
POOL-EN,gap_top1_top2,5,16,0.002,0.0029,0.312,0.125,0.562
POOL-EN,gap_top1_top2,6,16,0.0029,0.0038,0.438,0.188,0.688
POOL-EN,gap_top1_top2,7,16,0.0039,0.0052,0.562,0.312,0.812
POOL-EN,gap_top1_top2,8,16,0.0053,0.0079,0.812,0.625,1.0
POOL-EN,gap_top1_top2,9,15,0.0082,0.0121,0.867,0.667,1.0
POOL-EN,gap_top1_top2,10,15,0.0127,0.0322,0.867,0.667,1.0
POOL-HN,sim_top1,1,10,0.8757,0.9547,0.0,0.0,0.0
POOL-HN,sim_top1,2,10,0.9567,0.9629,0.0,0.0,0.0
POOL-HN,sim_top1,3,10,0.9644,0.9691,0.0,0.0,0.0
POOL-HN,sim_top1,4,10,0.9694,0.9721,0.2,0.0,0.5
POOL-HN,sim_top1,5,10,0.9725,0.9764,0.4,0.1,0.7
POOL-HN,sim_top1,6,10,0.9766,0.9795,0.4,0.1,0.7
POOL-HN,sim_top1,7,10,0.9798,0.9816,0.6,0.3,0.9
POOL-HN,sim_top1,8,10,0.9816,0.984,0.8,0.5,1.0
POOL-HN,sim_top1,9,10,0.9841,0.9868,0.6,0.3,0.9
POOL-HN,sim_top1,10,9,0.9872,0.9896,1.0,1.0,1.0
POOL-HN,gap_top1_top2,1,10,0.0002,0.0011,0.3,0.0,0.6
POOL-HN,gap_top1_top2,2,10,0.0012,0.0022,0.3,0.0,0.6
POOL-HN,gap_top1_top2,3,10,0.0022,0.0036,0.4,0.1,0.7
POOL-HN,gap_top1_top2,4,10,0.0037,0.0051,0.4,0.1,0.7
POOL-HN,gap_top1_top2,5,10,0.0052,0.0067,0.5,0.2,0.8
POOL-HN,gap_top1_top2,6,10,0.0068,0.0086,0.5,0.2,0.8
POOL-HN,gap_top1_top2,7,10,0.0088,0.0118,0.7,0.4,1.0
POOL-HN,gap_top1_top2,8,10,0.0125,0.0146,0.3,0.0,0.6
POOL-HN,gap_top1_top2,9,10,0.0149,0.0219,0.2,0.0,0.5
POOL-HN,gap_top1_top2,10,9,0.0227,0.1072,0.333,0.0,0.667
